ZipcodesGeoid_PK,Total_Income,LessThanHighSchoolGraduate,HighSchoolGraduate,SomeCollegeOrAssociate,BachelorsDegree,GraduateOrProfessionalDegree
976,21973,10255,15897,18320,29507,40397
979,26092,15060,17965,23346,32056,43578
982,18592,10766,15688,20071,23125,30925
983,19357,8932,16120,18056,24850,31009
985,18503,11136,15932,18840,25253,32103
987,22078,12683,16186,20303,27580,39716
1001,42836,30477,31520,41416,54163,59419
1002,41326,20167,34875,26079,40247,62949
1003,0,0,0,4500,0,"25,000"
1005,41263,23167,32750,52917,48676,61199
1007,47637,0,37036,43805,48789,64418
1008,44500,28750,41429,34688,60192,76111
1009,0,0,0,45833,0,0
1010,45671,23529,32167,41250,63438,73984
1011,39676,50625,40000,31563,51250,80417
1012,31793,0,27813,35833,29712,46875
1013,33287,21735,30995,35776,41760,42297
1020,42433,29662,36738,41566,60448,63094
1022,43103,83125,31914,26367,44683,63056
1026,31600,39167,31058,31146,25417,38214
1027,39753,43828,34250,36730,47917,52175
1028,50787,11532,31077,41875,61396,72863
1029,42833,43523,21250,0,78542,0
1030,46132,37188,39464,37090,53059,70233
1031,34375,0,39167,35000,37917,0
1032,45278,6250,40938,42411,55500,48542
1033,46671,0,42109,40198,52212,60057
1034,46622,41250,37024,47375,65893,58750
1035,40015,0,42609,33969,38556,45000
1036,50705,27426,35897,50268,73224,56477
1037,42386,0,0,55060,0,72679
1038,43214,0,37917,46328,46696,46964
1039,40395,19750,0,34911,42500,61875
1040,35650,14127,29214,35057,42154,53406
1050,40278,0,37500,38693,46667,57500
1053,41734,0,23523,0,32045,69038
1054,42961,26250,38438,28611,41250,57232
1056,46749,32334,40765,47250,61399,60966
1057,43074,30313,38223,42242,44917,72208
1060,41025,14107,25253,35750,36322,60775
1062,47635,0,36716,37634,45313,63964
1063,0,0,0,0,0,0
1066,0,0,0,0,0,0
1068,46125,38125,36458,45417,52292,65000
1069,39733,21992,26815,40700,46000,65286
1070,35417,14750,30357,22344,32250,60938
1071,50141,0,31953,50625,52292,54167
1072,45357,0,31429,31641,37407,58594
1073,50025,0,37375,41724,63512,89831
1074,36667,0,0,0,0,0
1075,40409,31528,31709,37573,44757,60504
1077,46614,27000,40581,39167,51437,84762
1079,25366,0,0,0,19779,0
1080,38488,25714,30369,48958,39250,67500
1081,35579,21250,35208,32222,36597,60938
1082,40644,20304,31384,44583,59154,63942
1083,32759,0,22179,33194,54213,0
1084,51563,0,0,0,0,60417
1085,41753,31349,32727,38679,51868,67073
1086,0,0,0,0,0,0
1088,48583,0,62375,0,49643,67188
1089,38613,22059,30838,35658,51649,61985
1092,56542,0,41681,41302,68256,0
1093,37083,0,25833,0,40625,85417
1094,55893,0,0,46458,0,66250
1095,51881,27083,39330,42255,57446,66766
1096,37917,0,31132,39141,43684,62583
1097,16250,0,0,0,0,0
1098,45385,0,40714,40750,53750,57188
1103,36250,30250,24779,27179,50385,61629
1104,29441,19797,27549,29912,37297,49091
1105,22733,20579,19564,25388,24167,77260
1106,61605,0,40699,36101,61349,88606
1107,22555,18148,24779,20639,51250,67083
1108,31228,21146,27239,31634,40153,52489
1109,30774,20826,31239,31429,33304,58167
1118,41123,33667,35301,37026,55307,59554
1119,35864,27125,30681,36027,47056,41675
1128,46368,0,34643,28873,55461,64205
1129,35343,21932,34139,31626,50850,52135
1151,27800,22941,24778,27953,32486,38125
1199,0,0,0,0,0,0
1201,33385,20118,30783,31097,40459,57703
1220,36572,26806,35931,35798,37460,50031
1222,37370,41094,36090,37208,33750,157083
1223,37962,20833,38606,37391,46250,46500
1224,0,0,0,0,0,0
1225,37537,27083,30993,37647,44167,60489
1226,36062,56875,24565,28380,52159,57688
1229,0,0,0,0,0,0
1230,35508,18773,30335,36050,55167,49304
1235,35307,29545,31411,31607,47500,86328
1236,36779,0,18676,0,0,43357
1237,40354,0,36750,42917,0,42036
1238,35306,20603,31151,30753,60595,51815
1240,51580,0,34421,62656,51467,54085
1242,26327,0,0,26217,20658,0
1243,38672,0,37625,31477,75625,68889
1244,74205,0,0,0,0,0
1245,36080,19500,27083,33750,30682,60250
1247,32277,20640,30348,28730,41449,60051
1253,41923,61136,33750,31761,70417,42222
1254,44375,0,36875,43750,38929,103438
1255,38438,40625,38333,33571,37083,65625
1256,34583,16667,26719,41250,66000,53333
1257,27852,0,26726,29183,53438,0
1258,24922,0,0,34028,24018,53750
1259,36750,52875,31750,36579,18304,53333
1260,50875,0,41845,0,91250,0
1262,28194,"25,000",27917,30703,0,55556
1264,36667,0,23750,25000,0,60000
1266,40769,0,24896,36094,47604,52083
1267,52839,122875,30000,40125,44427,68819
1270,42250,41250,41875,36339,45833,71250
1301,33926,15481,26212,33383,42570,46644
1330,45298,0,35938,42917,47548,54792
1331,38552,24561,37636,38628,47439,69205
1337,37454,13516,32394,38179,48750,44875
1338,0,0,0,20781,0,45938
1339,32355,19583,40833,29167,21583,42614
1340,30610,16042,30250,31667,26544,46000
1341,43036,0,35208,34125,48333,51641
1342,57444,0,0,77015,47969,71875
1343,0,0,0,43750,0,0
1344,37112,27083,42930,31389,30417,58571
1346,40250,70625,0,32000,46250,83125
1347,23438,0,39107,16875,0,0
1349,34436,19625,24958,38875,50917,56850
1350,33125,0,0,0,68750,0
1351,50833,0,0,47457,51793,52407
1354,40229,32143,35125,39688,35682,41610
1355,41875,37500,45125,33542,42188,57083
1360,41044,0,35658,36375,28594,56607
1364,34392,16731,30045,36650,44375,55655
1366,41585,10313,41250,36429,48333,71786
1367,24318,0,35938,19444,38125,38750
1368,38967,25536,32115,39773,67963,65714
1370,38292,18438,31324,38938,38750,51985
1373,40460,0,26364,37432,39226,63816
1375,35917,30156,32241,26065,40665,38192
1376,31583,12475,28500,33167,39180,45938
1378,36484,23750,35625,36250,33500,58214
1379,26500,15982,17361,25208,35972,32500
1420,35512,26135,30327,35136,49643,66127
1430,51315,0,42689,51250,52171,71250
1431,42417,0,41574,40357,48750,71023
1432,52141,0,37963,47325,72801,88563
1434,18789,0,0,18725,0,44167
1436,39469,0,34432,39874,76875,26835
1438,0,0,31250,0,0,0
1440,35787,27418,34343,32253,49245,51830
1450,70052,0,42284,48641,75556,99348
1451,71675,0,25750,51500,70714,111176
1452,50726,0,41250,51128,55156,71736
1453,37489,26583,32558,35270,49370,70480
1460,64492,30664,36857,34412,80321,84851
1462,51658,46000,37875,45496,56875,77060
1463,50736,20481,41403,39753,64955,94205
1464,48488,0,36583,47216,51058,74153
1467,72750,0,0,0,0,0
1468,42404,0,41319,39375,56490,68917
1469,46235,41295,40331,46165,55729,73929
1473,54731,73512,36582,41313,72818,75990
1474,53548,18906,53929,48558,42083,64896
1475,38051,35054,36800,33553,51538,63594
1501,51230,35682,36111,41522,56818,73561
1503,50605,0,35000,46806,63913,68929
1504,46589,34875,40716,46651,62153,69375
1505,53807,0,32111,45521,65000,93906
1506,45811,23664,28837,45703,65368,81824
1507,53821,0,41461,53520,70407,69821
1510,41937,16951,35139,39187,55097,63623
1515,45401,38667,40341,41607,61875,71705
1516,47355,42900,41722,41971,53125,92500
1518,47150,0,28681,46758,43827,62250
1519,61042,0,35186,44635,75000,85455
1520,52157,21458,36038,43919,56846,77241
1521,42548,0,35556,38333,56111,62188
1522,59848,0,48043,51204,70650,72016
1523,47065,0,27414,46543,65227,71392
1524,41602,27321,36163,45833,45250,61027
1525,0,0,0,0,0,0
1527,49015,20163,33618,41980,62621,64853
1529,52059,0,44185,47159,63750,86042
1531,46620,0,47344,38125,53750,68750
1532,61507,28804,31942,41550,70375,100369
1534,53647,21736,45227,45792,61484,83667
1535,44973,26793,36710,44545,51382,66776
1536,60659,18594,31466,51600,61663,87100
1537,51436,0,48144,0,72857,68235
1540,43104,30089,37264,41084,51095,65243
1541,62049,0,30568,34904,61136,94375
1542,44924,42727,37444,40255,55385,62311
1543,55493,0,36500,55417,61765,78189
1545,60891,28009,35582,46566,70642,89514
1550,35217,23600,33435,35913,47702,48627
1560,51870,0,30833,43214,62375,110395
1561,0,0,0,0,48889,0
1562,41353,22207,31430,47708,48616,73631
1564,63963,35667,46852,47930,75852,82449
1566,53794,65658,41879,51924,54803,65536
1568,61976,0,36615,35096,93077,94809
1569,49917,0,36835,46032,60431,84827
1570,37729,16250,32303,36730,53163,61738
1571,43761,51471,39970,39358,52269,73109
1581,68217,17200,41087,42259,74070,92566
1583,40379,0,26220,36442,44881,100379
1585,40945,19188,34784,31510,51445,57378
1588,42054,0,31932,38149,56898,64896
1590,56795,0,39077,49637,73452,77260
1602,45005,31047,31346,37069,54189,68750
1603,31629,21250,30010,31431,47179,56161
1604,38130,25156,30556,36203,53527,70806
1605,32423,23919,30536,31054,40558,55589
1606,46933,26595,31202,41908,57277,71667
1607,40032,26205,30139,35446,46250,71033
1608,23652,0,19702,25211,0,54375
1609,38571,20112,24414,30537,44306,70341
1610,26651,19561,24207,32267,30296,48147
1611,41505,19205,41838,33875,43125,69236
1612,61688,33750,0,51736,64649,72414
1701,55899,21325,33650,44311,65455,77287
1702,35290,21401,26885,36993,42366,66500
1718,93958,0,0,0,0,96761
1719,76667,0,37841,40898,64891,100714
1720,78201,0,32500,40815,72029,105170
1721,63976,29766,36614,46063,75424,92433
1730,75506,0,31063,37317,81128,101954
1731,55219,0,51000,43250,71719,100089
1740,74278,37619,38625,51842,83220,100020
1741,101424,0,57778,36667,91957,131339
1742,78819,20455,41419,44875,81328,101082
1745,59531,0,0,41653,75278,75972
1746,61949,35417,25000,45781,65789,91526
1747,56605,51184,41217,51502,84856,84464
1748,79442,35714,41103,52042,86451,101696
1749,51094,24688,40118,41322,65944,76250
1752,42456,23205,27079,37240,64367,77895
1754,54073,0,30369,46392,70847,87348
1756,66753,0,40905,60759,81471,85284
1757,46652,23843,32645,46463,62543,71815
1760,63235,19625,40382,45380,62670,81221
1770,88831,0,23450,20125,98875,104583
1772,79603,0,23542,52250,86406,110978
1773,89559,0,0,71683,75341,109250
1775,77760,0,21667,37019,92348,100139
1776,91654,0,33400,44583,95682,116579
1778,87228,37778,35040,41189,78953,104743
1801,50621,22403,37488,41862,59692,75649
1803,56189,23981,36913,41770,63879,88432
1810,77107,40861,41696,38431,81231,100789
1821,54013,35162,43991,50916,64503,84327
1824,61543,29766,46919,52526,68279,85781
1826,49041,30439,39885,50216,62131,73102
1827,70879,41250,42721,52500,77708,85568
1830,39237,21221,33765,38042,54524,69141
1832,41741,30837,31183,40648,51842,69452
1833,60649,50938,40877,50485,69736,90563
1834,51829,13909,26927,46929,71903,80400
1835,46313,0,38322,36027,62755,72011
1840,31241,20380,29904,31982,46012,40556
1841,26876,21880,27363,28277,39222,51453
1843,31509,20226,30301,31688,43307,70893
1844,42505,30682,38130,40705,52133,60985
1845,65806,0,39468,43536,73360,83021
1850,32053,21440,30364,35200,44414,57788
1851,33606,26467,31141,35394,44625,57321
1852,37543,22395,31194,38789,53724,60637
1854,31661,22303,29118,31749,45777,53421
1860,56227,0,25607,43261,71362,77177
1862,47801,24085,33783,50542,60184,81036
1863,59105,31250,49306,51836,61304,82057
1864,60135,0,44799,42254,75282,101250
1867,67334,0,40553,47039,80935,81545
1876,55506,27500,42245,51482,67035,85099
1879,51982,20813,40435,47931,66578,96648
1880,56590,31026,36712,50107,66827,82917
1886,75208,22440,34432,50273,75783,102364
1887,55031,0,38603,52208,64178,74988
1890,83171,0,35260,50486,85813,101619
1901,29583,21296,21941,35197,56500,68233
1902,32415,22036,30799,32280,43379,52905
1904,50000,32742,40182,50013,61774,71875
1905,35649,28083,34883,36250,50565,55500
1906,46808,32853,37133,42574,60166,63373
1907,57030,40167,43060,42755,68579,79298
1908,56976,0,41188,54545,67125,81000
1913,50194,0,29712,43433,65849,63391
1915,50065,23203,35137,37093,56430,83169
1921,76732,0,36051,47209,88883,96927
1922,52316,0,55614,44583,55486,60469
1923,48755,41313,37835,42291,59458,67854
1929,51841,0,50574,30583,75078,72417
1930,41829,28194,33119,37160,51531,70926
1937,0,0,0,0,0,0
1938,51272,40795,38675,41989,56849,70734
1940,63966,0,46944,49107,71269,101049
1944,51750,0,49236,44140,50886,84773
1945,62644,0,40417,46935,64592,77083
1949,52608,0,33026,46194,83094,101208
1950,60114,28565,26563,51531,62433,74481
1951,46894,0,41993,46716,71074,61528
1952,42246,26923,36178,34698,58523,58571
1960,43200,25273,33876,41912,54144,82575
1966,38924,25417,36177,31324,41655,51938
1969,50078,41771,38250,61339,75662,58750
1970,42651,22417,31850,37678,51616,68510
1982,61809,0,60820,42292,57500,90341
1983,62977,0,23411,41875,73594,67254
1984,71331,0,50833,38650,92292,86563
1985,67581,0,51806,52137,87778,73625
2019,51407,30670,36857,52539,63529,94298
2021,60244,0,41313,46332,65095,89796
2025,71286,36458,45391,57647,90547,84559
2026,55316,31406,36806,41638,70979,75444
2030,99972,0,36136,38333,84563,135893
2032,60203,0,42292,46324,78646,75926
2035,54828,35352,42672,45507,63245,78194
2038,63930,20761,48864,49403,69951,84481
2043,71010,0,35964,36424,78750,113071
2045,50313,0,27875,48682,61000,74698
2047,0,0,0,0,0,0
2048,56476,0,34904,46659,61400,87216
2050,50901,25668,34565,45575,61355,79673
2052,83400,"25,000",60469,52228,78714,104063
2053,62323,0,43013,57226,70946,76524
2054,57588,0,48406,44424,59607,88589
2056,62081,7556,0,40448,81691,92438
2061,63726,0,31759,47228,76134,80781
2062,52374,23601,40757,41761,65529,80571
2066,65201,0,31523,50492,74762,95119
2067,68162,20603,42500,48016,61860,93193
2071,41563,11197,0,42976,86029,0
2072,45717,35890,37905,40701,54299,65354
2081,60709,29906,41348,42482,71019,89313
2090,77717,0,42431,52750,89460,102201
2093,56838,35341,36947,41556,74363,84196
2108,75598,0,0,38979,73750,90143
2109,67335,0,0,45032,62420,96438
2110,76375,0,46513,21694,157212,87000
2111,40274,11550,23239,43571,64758,91908
2113,64607,0,52639,56847,68193,65580
2114,67117,18984,24750,50192,65109,76193
2115,49701,13791,21232,30699,51967,68523
2116,73862,13463,21405,46042,78182,96919
2118,62214,14418,21537,31738,80205,96365
2119,31124,19346,26804,31815,36983,51273
2120,29931,15473,20521,24180,40406,51806
2121,26964,21972,22231,30729,33438,41796
2122,36101,26319,29606,33390,54890,57000
2124,39573,20898,33180,38003,50341,65963
2125,36906,21373,29440,35682,45916,62492
2126,30892,21679,25065,31254,47383,51732
2127,62597,20581,30891,47326,69819,77393
2128,30479,21823,28064,36131,48465,59082
2129,68188,13354,22585,37888,75996,92960
2130,49187,25594,26610,36450,47356,66201
2131,43460,25352,32333,34507,53044,73023
2132,57491,28750,39118,40570,61835,81053
2134,40925,36613,26039,33107,45144,46933
2135,45893,21120,26678,32939,50576,54089
2136,40517,35625,35266,38413,50192,60139
2138,53937,25375,31726,40015,52307,61046
2139,51457,31290,31217,32239,48284,65591
2140,52066,15865,30208,38597,48420,70499
2141,52987,33625,30653,39861,54694,68955
2142,87500,0,0,95000,63313,100647
2143,46408,25756,30125,32254,47408,56298
2144,52168,19167,26136,41164,55641,62434
2145,39749,22079,31514,37627,51245,56998
2148,36925,22234,28983,34174,49951,62278
2149,31666,26910,30311,31213,45881,55401
2150,29871,23447,27229,32009,43819,59926
2151,33701,30675,28504,35652,43582,65603
2152,47230,17044,32354,41801,59514,69730
2155,50935,30494,32088,41992,60560,68090
2163,28385,0,0,75114,29211,23182
2169,43963,21294,31383,38944,55297,66418
2170,45873,18772,30823,50184,58025,70134
2171,45083,22402,25694,38958,56974,71691
2176,57783,30462,41196,42537,65464,73613
2180,53297,0,40870,42510,56422,75625
2184,52786,26823,35537,48596,61950,76551
2186,66107,0,44672,39523,73598,96696
2188,47349,0,38630,48735,55435,75386
2189,40865,25938,33663,41167,50538,61524
2190,50066,49028,36338,46660,58776,69583
2191,47058,13902,33917,43594,54271,71650
2199,98412,0,0,0,79167,140486
2203,0,0,0,0,0,0
2210,102250,0,42153,46583,103711,126020
2215,50281,22000,14500,27857,55353,52252
2301,33241,23886,30521,33431,49116,61744
2302,36102,21732,31587,36686,47476,61978
2322,40818,38750,27708,42045,51591,90313
2324,46496,0,33891,44237,61307,71623
2330,43019,35810,36684,51489,47016,56432
2332,62977,30795,40655,43550,67778,91058
2333,46772,24167,39883,45576,64107,60882
2338,45208,30357,41431,39519,52841,71442
2339,62043,17500,41503,46708,76932,103203
2341,51122,33616,37139,52091,63652,75208
2343,41642,0,37071,35516,51584,65208
2346,46394,25682,36325,43250,56838,73185
2347,49545,17234,42067,45327,54767,82109
2351,45859,35221,40735,39798,63414,77292
2356,55711,6806,35125,44886,66806,86530
2357,86750,0,0,0,0,0
2359,48374,31842,42026,39458,65575,75469
2360,48999,31518,34157,41888,60968,74176
2364,53688,31310,37113,39306,65037,64856
2366,"25,000",0,"25,000",0,0,0
2367,51359,69063,41875,52269,50625,68542
2368,40725,27656,33447,37318,51574,68092
2370,45096,21278,35504,43865,52105,67566
2375,51151,28650,35625,41227,61651,83405
2379,46897,0,34427,47243,62188,73500
2382,47908,27132,40883,44738,56389,62900
2420,93938,16204,33529,40762,74311,112083
2421,89960,29318,46071,26587,79318,120141
2445,63425,18333,37533,50838,55667,78750
2446,62379,30850,29410,36667,56484,70410
2451,53340,27411,37341,41853,60613,74601
2452,50516,19917,35430,40183,54450,83071
2453,47133,25138,34320,41567,63231,69375
2457,0,0,0,0,0,0
2458,62181,47083,44550,39286,58229,79737
2459,85154,15583,28382,45294,84860,103629
2460,70037,25938,40139,56467,62128,91735
2461,77877,0,0,41118,61684,100913
2462,86094,0,0,30833,45417,102750
2464,52316,"25,000",32647,43295,55179,78295
2465,82949,26429,30912,59625,82536,102148
2466,64638,0,57546,0,77150,85368
2467,72370,30588,0,41674,66036,86633
2468,102358,0,0,55417,104122,102885
2472,55784,23771,38186,40573,61104,71455
2474,62756,19632,43828,51691,63219,81477
2476,64320,25781,36397,40291,66648,83203
2478,67080,21833,40084,37176,60983,88430
2481,102457,0,38500,39000,80987,133676
2482,92461,0,44464,33977,92933,104426
2492,81202,44813,40434,40862,75792,113036
2493,113066,0,41908,0,83380,147125
2494,73179,0,40573,34087,66014,93051
2532,46931,22177,33825,42399,63169,75038
2534,51164,0,0,51466,0,93542
2535,30909,31111,21786,27153,31290,73750
2536,40612,35074,34442,38824,42397,70262
2537,52639,0,30538,37006,65417,73664
2538,42681,35000,50497,33692,41250,62500
2539,41279,41296,40839,42292,35743,72222
2540,40579,41190,29225,28026,43000,63258
2542,35417,0,35833,37333,31477,0
2543,37321,0,13750,0,45217,34924
2553,0,0,0,0,0,0
2554,41483,30702,40841,41376,47625,51131
2556,54111,0,0,53618,85156,78333
2557,53587,0,42179,63013,49907,57159
2558,0,0,0,46867,25362,0
2559,38265,0,31384,39006,39344,0
2561,0,0,0,19102,0,0
2562,47951,0,24375,45583,60714,72143
2563,49466,22404,31468,40625,64432,70333
2564,40968,0,25521,50521,0,0
2568,37658,0,28780,40401,37875,60275
2571,40500,48623,30781,35403,51178,70197
2575,38194,0,26683,38306,0,60227
2576,48987,0,50000,38665,59904,83250
2584,0,0,0,0,0,0
2601,30522,29333,30842,27158,36250,32467
2630,33750,0,44833,26500,58125,83705
2631,44315,0,30708,36250,45638,73548
2632,43750,16172,38462,38016,54539,75465
2633,30967,0,31750,23616,30231,61071
2635,43750,0,41351,31429,46328,50720
2637,70179,0,0,0,0,71250
2638,36310,0,35577,32768,37361,61625
2639,40056,0,41368,35694,30743,41280
2641,0,0,0,0,0,0
2642,31698,"25,000",35114,27821,40801,22407
2643,0,0,0,0,0,0
2644,38750,0,31661,35521,45444,56845
2645,41016,20060,40075,36910,42414,75735
2646,33828,0,22336,29265,55670,43214
2647,0,0,0,0,0,0
2648,45848,0,29895,41436,55028,52045
2649,45591,52532,32625,39219,52214,62406
2650,29850,0,0,50179,27650,0
2651,0,0,0,0,0,0
2652,36216,0,0,26833,42760,0
2653,31603,0,33426,23000,39079,53056
2655,49583,16875,26757,33333,53750,66047
2657,28545,16136,23712,23919,38456,48194
2659,36681,0,17604,36989,50903,41029
2660,33158,11773,28050,40034,36758,45278
2663,37500,0,0,0,0,0
2664,37492,27279,31792,35917,45491,50689
2666,25145,27014,0,0,0,43984
2667,26694,0,40041,22447,35662,29028
2668,56346,0,30721,41984,100031,70750
2669,40380,0,21581,42011,0,43382
2670,36648,0,27083,35227,0,55250
2671,42622,0,48021,43476,26000,52250
2672,100260,0,0,0,0,103125
2673,38729,21909,28154,40682,60096,54559
2675,40506,0,24194,50603,41809,61172
2702,49238,45714,37202,36607,71313,71429
2703,45178,27500,35751,39496,61472,71154
2713,30625,0,0,29375,0,0
2715,60657,0,55545,43585,62042,88214
2717,43115,35417,35192,41739,61382,82311
2718,46550,27895,42190,44231,64700,85000
2719,41180,32098,30093,41061,50953,72463
2720,36681,30585,31521,35544,49327,60028
2721,32611,23768,27983,37253,38158,56960
2723,31718,31129,27563,31935,45833,71875
2724,31844,25560,31181,36019,42901,24613
2725,41097,42932,40481,35526,40517,53083
2726,42152,22478,36181,38077,56786,72024
2738,50801,0,32411,39231,81154,71454
2739,52841,0,37966,48514,67390,74301
2740,31684,26156,29279,31822,40395,50553
2743,42320,48638,37476,31935,52182,67083
2744,31499,29362,31121,25111,51131,55263
2745,39108,27481,36173,40170,50158,54648
2746,25836,24365,25297,29625,37278,41458
2747,41496,35778,40965,35882,53797,61733
2748,45322,25428,31273,41297,52284,72536
2760,51070,26890,37126,43624,63000,79656
2762,49060,41250,31135,41734,79890,81296
2763,52986,0,55781,36490,64028,77778
2764,47652,40417,40693,47992,55313,92105
2766,51861,23438,36875,50652,66957,76203
2767,50796,15522,37095,47887,63729,71418
2769,45792,36339,36772,40702,59438,71932
2770,58229,0,47826,45263,71875,82171
2771,47785,34861,37302,43229,55962,77917
2777,42514,30481,36926,41643,61515,61103
2779,50946,0,44881,46348,67361,75938
2780,39648,30191,34710,41004,50249,61567
2790,50384,31528,40221,41002,61915,69744
2791,31638,0,0,0,0,31638
2802,41471,0,34000,0,81445,0
2804,42917,0,34615,37634,60833,81027
2806,67853,0,31875,42054,68182,86631
2807,46304,0,50375,26950,73229,53750
2808,44327,42788,39621,51711,56053,51339
2809,42461,26310,31723,41265,55244,65795
2812,51449,0,0,46780,41992,65333
2813,40250,0,34470,41285,40924,70125
2814,44776,38750,41382,42458,65441,59205
2815,61500,0,0,0,45500,208611
2816,40472,30485,31166,41083,50962,76065
2817,53214,0,45250,47661,60881,82624
2818,60899,23958,38494,37580,74026,83042
2822,48473,0,41891,46331,52083,72288
2825,51601,27188,33818,51117,73508,64598
2826,46923,0,51325,0,0,0
2827,50357,0,38029,45125,63958,69250
2828,50476,31875,40332,47045,53244,78750
2830,42763,41518,30864,36513,65825,75694
2831,51560,32578,49297,48750,46932,74260
