"yearid","team_name","total_salary"
1991,"Baltimore Orioles","1156254000"
1991,"San Diego Padres","1129650051"
1991,"California Angels","1057920032"
1991,"Atlanta Braves","993789000"
1991,"Texas Rangers","874776000"
1991,"Toronto Blue Jays","855803931"
1991,"Houston Astros","706887500"
1991,"Seattle Mariners","674748819"
1991,"Milwaukee Brewers","647234000"
1991,"Montreal Expos","386363988"
1991,"Chicago White Stockings","324459338"
1991,"New York Highlanders","273441680"
1991,"Boston Americans","246172500"
1991,"Cleveland Naps","211620000"
1991,"Chicago Colts","185405336"
1991,"Cincinnati Redlegs","157831998"
1991,"Philadelphia Quakers","157411324"
1991,"St. Louis Browns","153020007"
1991,"Chicago Orphans","115878335"
1991,"Pittsburg Alleghenys","94538668"
1991,"Philadelphia Blue Jays","44974664"
1991,"Houston Colt .45's","38557500"
1991,"St. Louis Perfectos","21860001"
1991,"Cleveland Bronchos","17635000"
1991,"Cleveland Blues","17635000"
1992,"Boston Red Sox","4884385408"
1992,"Cincinnati Reds","4455505876"
1992,"Pittsburgh Pirates","4378797543"
1992,"New York Yankees","4017136738"
1992,"Chicago White Sox","3589139127"
1992,"Chicago Cubs","3490073262"
1992,"St. Louis Cardinals","3310060320"
1992,"Detroit Tigers","3251417246"
1992,"Philadelphia Phillies","3121130752"
1992,"Los Angeles Dodgers","2776866292"
1992,"New York Mets","2586916116"
1992,"Oakland Athletics","2133820000"
1992,"San Francisco Giants","2056116416"
1992,"Toronto Blue Jays","1925912638"
1992,"Atlanta Braves","1869767982"
1992,"Kansas City Royals","1728585534"
1992,"Minnesota Twins","1653642206"
1992,"Baltimore Orioles","1569524022"
1992,"Texas Rangers","1446152016"
1992,"San Diego Padres","1369562517"
1992,"California Angels","1111978688"
1992,"Seattle Mariners","996732819"
1992,"Cleveland Indians","984169620"
1992,"Milwaukee Brewers","868382676"
1992,"Houston Astros","847412500"
1992,"Montreal Expos","569604024"
1992,"Chicago White Stockings","417615604"
1992,"New York Highlanders","375433340"
1992,"Boston Americans","305274088"
1992,"Chicago Colts","238637488"
1992,"Cincinnati Redlegs","215588994"
1992,"St. Louis Browns","193086852"
1992,"Philadelphia Quakers","170686838"
1992,"Chicago Orphans","149148430"
1992,"Pittsburg Alleghenys","135776668"
1992,"Cleveland Naps","112476528"
1992,"Philadelphia Blue Jays","48767668"
1992,"Houston Colt .45's","46222500"
1992,"St. Louis Perfectos","27583836"
1992,"Cleveland Blues","9373044"
1992,"Cleveland Bronchos","9373044"
1993,"Cincinnati Reds","5565078584"
1993,"Chicago White Sox","4723843754"
1993,"Chicago Cubs","4608239922"
1993,"New York Yankees","4560864300"
1993,"Detroit Tigers","4539869635"
1993,"Boston Red Sox","4157505296"
1993,"Philadelphia Phillies","3652906752"
1993,"Pittsburgh Pirates","3202098243"
1993,"St. Louis Cardinals","2804080080"
1993,"Los Angeles Dodgers","2438583938"
1993,"New York Mets","2264532686"
1993,"Atlanta Braves","2248636518"
1993,"San Francisco Giants","2173100000"
1993,"Kansas City Royals","2108654517"
1993,"Toronto Blue Jays","2033004138"
1993,"Oakland Athletics","1966241316"
1993,"Cleveland Indians","1948905000"
1993,"Baltimore Orioles","1920369000"
1993,"Texas Rangers","1746094032"
1993,"Minnesota Twins","1664858047"
1993,"Houston Astros","1661577500"
1993,"Seattle Mariners","1405942319"
1993,"San Diego Padres","1301077983"
1993,"California Angels","914826688"
1993,"Montreal Expos","680375988"
1993,"Milwaukee Brewers","666591352"
1993,"Chicago White Stockings","551413324"
1993,"New York Highlanders","426249000"
1993,"Florida Marlins","367280355"
1993,"Chicago Colts","315093328"
1993,"Colorado Rockies","279544500"
1993,"Cincinnati Redlegs","269277996"
1993,"Boston Americans","259844081"
1993,"Cleveland Naps","222732000"
1993,"Philadelphia Quakers","199768338"
1993,"Chicago Orphans","196933330"
1993,"St. Louis Browns","163571338"
1993,"Pittsburg Alleghenys","99289868"
1993,"Houston Colt .45's","90631500"
1993,"Philadelphia Blue Jays","57076668"
1993,"St. Louis Perfectos","23367334"
1993,"Cleveland Bronchos","18561000"
1993,"Cleveland Blues","18561000"
1994,"Cincinnati Reds","5079267292"
1994,"Detroit Tigers","4932133619"
1994,"New York Yankees","4893252738"
1994,"Chicago White Sox","4662876484"
1994,"Chicago Cubs","4245617961"
1994,"Boston Red Sox","4240217408"
1994,"Philadelphia Phillies","4044672000"
1994,"St. Louis Cardinals","3513072120"
1994,"Cleveland Indians","3201502500"
1994,"Pittsburgh Pirates","3124025250"
1994,"Atlanta Braves","2666709702"
1994,"San Francisco Giants","2643597292"
1994,"Baltimore Orioles","2564084754"
1994,"Los Angeles Dodgers","2356000062"
1994,"Kansas City Royals","2067608034"
1994,"Toronto Blue Jays","1867647724"
1994,"Houston Astros","1821930000"
1994,"New York Mets","1795481814"
1994,"Oakland Athletics","1776970000"
1994,"Minnesota Twins","1677871500"
1994,"Texas Rangers","1582732656"
1994,"Seattle Mariners","1256825500"
1994,"California Angels","804998976"
1994,"San Diego Padres","760732983"
1994,"Montreal Expos","687528000"
1994,"Milwaukee Brewers","681814000"
1994,"Colorado Rockies","644957991"
1994,"Chicago White Stockings","508022662"
1994,"New York Highlanders","457313340"
1994,"Florida Marlins","411027000"
1994,"Cleveland Naps","365886000"
1994,"Chicago Colts","290298664"
1994,"Boston Americans","265013588"
1994,"Cincinnati Redlegs","245770998"
1994,"Philadelphia Quakers","221193000"
1994,"St. Louis Browns","204929207"
1994,"Chicago Orphans","181436665"
1994,"Houston Colt .45's","99378000"
1994,"Pittsburg Alleghenys","96869000"
1994,"Philadelphia Blue Jays","63198000"
1994,"Cleveland Bronchos","30490500"
1994,"Cleveland Blues","30490500"
1994,"St. Louis Perfectos","29275601"
1995,"Chicago White Sox","5588392558"
1995,"Cincinnati Reds","5349939080"
1995,"New York Yankees","5229609057"
1995,"St. Louis Cardinals","4452120000"
1995,"Detroit Tigers","4408255992"
1995,"Cleveland Indians","3983472675"
1995,"Philadelphia Phillies","3911160960"
1995,"Boston Red Sox","3635018016"
1995,"Chicago Cubs","3452182578"
1995,"Baltimore Orioles","2900206386"
1995,"Atlanta Braves","2550714030"
1995,"Los Angeles Dodgers","2434938462"
1995,"Pittsburgh Pirates","2367839505"
1995,"San Francisco Giants","2260692174"
1995,"Toronto Blue Jays","2175370000"
1995,"Oakland Athletics","1962439700"
1995,"Houston Astros","1879340870"
1995,"Texas Rangers","1659909648"
1995,"New York Mets","1605149536"
1995,"Seattle Mariners","1568696373"
1995,"Kansas City Royals","1506174534"
1995,"Minnesota Twins","1499219500"
1995,"San Diego Padres","1345499034"
1995,"California Angels","999141472"
1995,"Colorado Rockies","922177359"
1995,"Milwaukee Brewers","498367100"
1995,"New York Highlanders","488748510"
1995,"Florida Marlins","465799839"
1995,"Cleveland Naps","455254020"
1995,"Montreal Expos","445104000"
1995,"Chicago White Stockings","413081676"
1995,"St. Louis Browns","259707000"
1995,"Cincinnati Redlegs","258868020"
1995,"Chicago Colts","236046672"
1995,"Boston Americans","227188626"
1995,"Philadelphia Quakers","213891615"
1995,"Chicago Orphans","147529170"
1995,"Houston Colt .45's","102509502"
1995,"Pittsburg Alleghenys","73421380"
1995,"Philadelphia Blue Jays","61111890"
1995,"Cleveland Blues","37937835"
1995,"Cleveland Bronchos","37937835"
1995,"St. Louis Perfectos","37101000"
1996,"New York Yankees","5798521744"
1996,"Chicago White Sox","5371600500"
1996,"Cincinnati Reds","5273265416"
1996,"Cleveland Indians","5051272800"
1996,"St. Louis Cardinals","4832360040"
1996,"Boston Red Sox","4748072000"
1996,"Philadelphia Phillies","4392256000"
1996,"Chicago Cubs","3870477000"
1996,"Baltimore Orioles","3596360790"
1996,"Pittsburgh Pirates","2969257500"
1996,"Detroit Tigers","2789122000"
1996,"Atlanta Braves","2683719000"
1996,"San Francisco Giants","2302972950"
1996,"Los Angeles Dodgers","2192010000"
1996,"Texas Rangers","1873993344"
1996,"Seattle Mariners","1777125543"
1996,"Houston Astros","1566785000"
1996,"San Diego Padres","1445756772"
1996,"New York Mets","1419811000"
1996,"Minnesota Twins","1363903000"
1996,"Toronto Blue Jays","1270868569"
1996,"Oakland Athletics","1104636000"
1996,"Colorado Rockies","1084855221"
1996,"Kansas City Royals","1034343750"
1996,"California Angels","919616000"
1996,"Milwaukee Brewers","608440000"
1996,"Florida Marlins","589427500"
1996,"Montreal Expos","585522000"
1996,"Cleveland Naps","577288320"
1996,"New York Highlanders","541917920"
1996,"Chicago White Stockings","463134000"
1996,"Boston Americans","296754500"
1996,"St. Louis Browns","281887669"
1996,"Chicago Colts","264648000"
1996,"Cincinnati Redlegs","255158004"
1996,"Philadelphia Quakers","240201500"
1996,"Chicago Orphans","165405000"
1996,"Pittsburg Alleghenys","92070000"
1996,"Houston Colt .45's","85461000"
1996,"Philadelphia Blue Jays","68629000"
1996,"Cleveland Bronchos","48107360"
1996,"Cleveland Blues","48107360"
1996,"St. Louis Perfectos","40269667"
1997,"Chicago White Sox","6871060000"
1997,"New York Yankees","6659845315"
1997,"Cincinnati Reds","6171232000"
1997,"Cleveland Indians","5964258300"
1997,"St. Louis Cardinals","5454800040"
1997,"Chicago Cubs","4932173961"
1997,"Boston Red Sox","4878580000"
1997,"Philadelphia Phillies","4692032000"
1997,"Baltimore Orioles","3862082400"
1997,"Atlanta Braves","2823039000"
1997,"Los Angeles Dodgers","2813578848"
1997,"Texas Rangers","2565544224"
1997,"New York Mets","2308423200"
1997,"San Francisco Giants","2206727436"
1997,"Detroit Tigers","2055368000"
1997,"Toronto Blue Jays","2024432819"
1997,"Minnesota Twins","2010277500"
1997,"Houston Astros","1912762500"
1997,"San Diego Padres","1905547272"
1997,"Seattle Mariners","1786248423"
1997,"Kansas City Royals","1767405000"
1997,"Pittsburgh Pirates","1389545043"
1997,"Oakland Athletics","1248962000"
1997,"Colorado Rockies","1176111009"
1997,"Florida Marlins","925157500"
1997,"Montreal Expos","694638000"
1997,"Cleveland Naps","681629520"
1997,"Milwaukee Brewers","662349464"
1997,"New York Highlanders","622415450"
1997,"Chicago White Stockings","590174662"
1997,"Chicago Colts","337242664"
1997,"St. Louis Browns","318196669"
1997,"Boston Americans","304911250"
1997,"Cincinnati Redlegs","298608000"
1997,"Philadelphia Quakers","256595500"
1997,"Anaheim Angels","249083776"
1997,"Chicago Orphans","210776665"
1997,"Houston Colt .45's","104332500"
1997,"Philadelphia Blue Jays","73313000"
1997,"Cleveland Blues","56802460"
1997,"Cleveland Bronchos","56802460"
1997,"St. Louis Perfectos","45456667"
1997,"Pittsburg Alleghenys","43086668"
1998,"New York Yankees","7148334769"
1998,"St. Louis Cardinals","6560702520"
1998,"Cleveland Indians","6384017430"
1998,"Boston Red Sox","6356784000"
1998,"Chicago Cubs","5948046000"
1998,"Baltimore Orioles","4775471844"
1998,"Philadelphia Phillies","4646080000"
1998,"Chicago White Sox","4561865000"
1998,"Atlanta Braves","3304044000"
1998,"Los Angeles Dodgers","3026840000"
1998,"New York Mets","3020523942"
1998,"Detroit Tigers","2863735000"
1998,"Cincinnati Reds","2852620000"
1998,"Texas Rangers","2715460560"
1998,"San Francisco Giants","2639081708"
1998,"San Diego Padres","2389936500"
1998,"Houston Astros","2330570000"
1998,"Seattle Mariners","2325742548"
1998,"Toronto Blue Jays","2209168000"
1998,"Pittsburgh Pirates","1943385000"
1998,"Kansas City Royals","1879987500"
1998,"Minnesota Twins","1647722500"
1998,"Colorado Rockies","1363085496"
1998,"Oakland Athletics","1107756000"
1998,"Florida Marlins","785130673"
1998,"Milwaukee Brewers","746127888"
1998,"Cleveland Naps","729601992"
1998,"Chicago White Stockings","711732000"
1998,"Arizona Diamondbacks","711634000"
1998,"New York Highlanders","668068670"
1998,"Chicago Colts","406704000"
1998,"Boston Americans","397299000"
1998,"Montreal Expos","383094000"
1998,"St. Louis Browns","382707647"
1998,"Anaheim Angels","330248000"
1998,"Tampa Bay Rays","327360000"
1998,"Tampa Bay Devil Rays","272800000"
1998,"Chicago Orphans","254190000"
1998,"Philadelphia Quakers","254082500"
1998,"Cincinnati Redlegs","138030000"
1998,"Houston Colt .45's","127122000"
1998,"Philadelphia Blue Jays","72595000"
1998,"Cleveland Blues","60800166"
1998,"Cleveland Bronchos","60800166"
1998,"Pittsburg Alleghenys","60260000"
1998,"St. Louis Perfectos","54672521"
1999,"New York Yankees","9280576413"
1999,"Cleveland Indians","7662738510"
1999,"Chicago Cubs","7294131000"
1999,"Boston Red Sox","7111720000"
1999,"St. Louis Cardinals","5973383400"
1999,"Baltimore Orioles","5319986958"
1999,"Los Angeles Dodgers","5013472086"
1999,"Detroit Tigers","4342270254"
1999,"Cincinnati Reds","4211382364"
1999,"Philadelphia Phillies","4056640000"
1999,"Atlanta Braves","3949560000"
1999,"New York Mets","3775341336"
1999,"Texas Rangers","3682076688"
1999,"Pittsburgh Pirates","3185998914"
1999,"Chicago White Sox","3048780000"
1999,"Houston Astros","3020270000"
1999,"San Francisco Giants","2888893534"
1999,"San Diego Padres","2538177129"
1999,"Seattle Mariners","2327375129"
1999,"Toronto Blue Jays","1954106319"
1999,"Colorado Rockies","1672267599"
1999,"Arizona Diamondbacks","1511487978"
1999,"Kansas City Royals","1337475000"
1999,"Oakland Athletics","1270455316"
1999,"Minnesota Twins","1254192500"
1999,"Milwaukee Brewers","954302690"
1999,"Cleveland Naps","875741544"
1999,"Chicago White Stockings","872802000"
1999,"New York Highlanders","867343590"
1999,"Montreal Expos","644508000"
1999,"Chicago Colts","498744000"
1999,"Tampa Bay Rays","466440000"
1999,"Boston Americans","444482500"
1999,"Anaheim Angels","443105328"
1999,"Florida Marlins","400615000"
1999,"Tampa Bay Devil Rays","388700000"
1999,"St. Louis Browns","348447365"
1999,"Chicago Orphans","311715000"
1999,"Philadelphia Quakers","221847500"
1999,"Cincinnati Redlegs","203776566"
1999,"Houston Colt .45's","164742000"
1999,"Pittsburg Alleghenys","98790664"
1999,"Cleveland Bronchos","72978462"
1999,"Cleveland Blues","72978462"
1999,"Philadelphia Blue Jays","63385000"
1999,"St. Louis Perfectos","49778195"
2000,"New York Yankees","9880193820"
2000,"Boston Red Sox","8729317296"
2000,"Cleveland Indians","7967480955"
2000,"St. Louis Cardinals","7374463560"
2000,"Chicago Cubs","7083101961"
2000,"Detroit Tigers","6933554873"
2000,"Philadelphia Phillies","6055424000"
2000,"Cincinnati Reds","5811532800"
2000,"Los Angeles Dodgers","5451305732"
2000,"Baltimore Orioles","5375530710"
2000,"New York Mets","4611567008"
2000,"Atlanta Braves","4565043144"
2000,"Pittsburgh Pirates","3731755086"
2000,"Chicago White Sox","3704886500"
2000,"Texas Rangers","3398204208"
2000,"San Francisco Giants","3331745212"
2000,"Houston Astros","2820901105"
2000,"San Diego Padres","2795871000"
2000,"Seattle Mariners","2533345000"
2000,"Toronto Blue Jays","1928048276"
2000,"Arizona Diamondbacks","1782612326"
2000,"Oakland Athletics","1662509316"
2000,"Colorado Rockies","1650002130"
2000,"Kansas City Royals","1195083000"
2000,"Montreal Expos","1187795988"
2000,"Minnesota Twins","974650500"
2000,"New York Highlanders","923382600"
2000,"Cleveland Naps","910569252"
2000,"Chicago White Stockings","847550662"
2000,"Milwaukee Brewers","803117326"
2000,"Tampa Bay Rays","753181548"
2000,"Tampa Bay Devil Rays","627651290"
2000,"Boston Americans","545582331"
2000,"Chicago Colts","484314664"
2000,"St. Louis Browns","430177041"
2000,"Anaheim Angels","411713336"
2000,"Florida Marlins","377568000"
2000,"Philadelphia Quakers","331156000"
2000,"Chicago Orphans","302696665"
2000,"Cincinnati Redlegs","281203200"
2000,"Houston Colt .45's","153867333"
2000,"Pittsburg Alleghenys","115713336"
2000,"Philadelphia Blue Jays","94616000"
2000,"Cleveland Bronchos","75880771"
2000,"Cleveland Blues","75880771"
2000,"St. Louis Perfectos","61453863"
2001,"Boston Red Sox","12324013296"
2001,"New York Yankees","12014724301"
2001,"Cleveland Indians","9780960105"
2001,"St. Louis Cardinals","9424599960"
2001,"Chicago White Sox","7812786373"
2001,"Chicago Cubs","7571752461"
2001,"Pittsburgh Pirates","7451147457"
2001,"Los Angeles Dodgers","6764569086"
2001,"Detroit Tigers","6356523873"
2001,"Cincinnati Reds","6074264000"
2001,"New York Mets","5404116824"
2001,"Philadelphia Phillies","5332970624"
2001,"Atlanta Braves","4964552964"
2001,"Baltimore Orioles","4461569640"
2001,"Texas Rangers","4254408000"
2001,"San Francisco Giants","3923370354"
2001,"Houston Astros","3333696685"
2001,"Toronto Blue Jays","3306527957"
2001,"Seattle Mariners","3212995862"
2001,"San Diego Padres","1998324483"
2001,"Colorado Rockies","1931616018"
2001,"Arizona Diamondbacks","1871825978"
2001,"Kansas City Royals","1806547500"
2001,"Oakland Athletics","1758159000"
2001,"Minnesota Twins","1423670000"
2001,"Montreal Expos","1265742000"
2001,"New York Highlanders","1122871430"
2001,"Cleveland Naps","1117824012"
2001,"Milwaukee Brewers","965510326"
2001,"Chicago White Stockings","906021662"
2001,"Boston Americans","770250831"
2001,"Tampa Bay Rays","683760000"
2001,"Florida Marlins","679487500"
2001,"Tampa Bay Devil Rays","569800000"
2001,"St. Louis Browns","549768331"
2001,"Chicago Colts","517726664"
2001,"Anaheim Angels","380281336"
2001,"Chicago Orphans","323579165"
2001,"Cincinnati Redlegs","293916000"
2001,"Philadelphia Quakers","291646831"
2001,"Pittsburg Alleghenys","231043332"
2001,"Houston Colt .45's","181838001"
2001,"Cleveland Blues","93152001"
2001,"Cleveland Bronchos","93152001"
2001,"Philadelphia Blue Jays","83327666"
2001,"St. Louis Perfectos","78538333"
2002,"New York Yankees","13474358381"
2002,"Boston Red Sox","12136998720"
2002,"St. Louis Cardinals","8959305000"
2002,"Chicago Cubs","8855827461"
2002,"Cleveland Indians","8285492145"
2002,"Philadelphia Phillies","7418239872"
2002,"Chicago White Sox","6789287127"
2002,"Detroit Tigers","6550712000"
2002,"Los Angeles Dodgers","5880759086"
2002,"Cincinnati Reds","5586248360"
2002,"New York Mets","5488748394"
